EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,EducationField,Education,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,Attrition,AttritionLabel
1001,30,Female,Single,Research & Development,Healthcare Representative,4,Technical Degree,3,7577,12,1,No,Travel_Frequently,29,3,1,3,3,4,4,31,20,14,0,No
1002,48,Female,Single,Human Resources,Manager,3,Medical,1,3610,16,1,No,Travel_Rarely,24,1,1,2,3,0,6,14,10,32,1,Yes
1003,58,Male,Divorced,Research & Development,Laboratory Technician,3,Marketing,1,7089,23,1,No,Travel_Rarely,16,4,3,1,4,0,0,35,18,37,0,No
1004,28,Male,Married,Research & Development,Research Scientist,1,Life Sciences,2,14863,12,0,Yes,Non-Travel,11,3,3,3,3,5,5,4,1,10,0,No
1005,21,Female,Married,Sales,Manager,1,Marketing,2,3168,20,0,No,Travel_Rarely,6,2,2,2,3,3,7,21,12,1,0,No
1006,51,Female,Married,Sales,Sales Executive,4,Human Resources,4,9322,14,0,Yes,Non-Travel,27,3,3,3,3,5,0,15,11,30,0,No
1007,55,Male,Married,Sales,Sales Executive,4,Life Sciences,2,5377,20,1,No,Travel_Rarely,3,2,1,3,3,3,8,9,7,39,0,No
1008,21,Female,Divorced,Research & Development,Laboratory Technician,1,Life Sciences,2,2326,13,2,No,Travel_Rarely,1,4,3,3,3,5,2,23,17,5,0,No
1009,55,Male,Single,Research & Development,Laboratory Technician,3,Life Sciences,1,14281,16,1,No,Non-Travel,18,3,3,3,3,1,0,17,11,37,0,No
1010,36,Female,Married,Research & Development,Healthcare Representative,2,Life Sciences,1,2239,22,1,No,Travel_Rarely,5,1,2,3,3,3,0,17,3,15,0,No
1011,23,Male,Married,Sales,Sales Representative,2,Medical,1,18526,22,2,No,Travel_Rarely,13,1,2,1,3,3,5,6,1,5,0,No
1012,51,Female,Married,Human Resources,Manager,4,Technical Degree,3,2310,23,2,Yes,Travel_Rarely,10,3,2,1,3,5,5,3,0,30,1,Yes
1013,35,Male,Married,Research & Development,Manufacturing Director,4,Life Sciences,1,16936,24,1,No,Non-Travel,5,4,2,1,3,2,0,25,16,15,0,No
1014,30,Male,Divorced,Sales,Sales Representative,4,Medical,1,2919,18,2,Yes,Travel_Rarely,26,4,1,2,4,1,2,4,3,13,0,No
1015,58,Male,Married,Sales,Manager,2,Medical,2,15913,21,2,No,Travel_Rarely,14,1,3,1,3,1,6,15,11,37,0,No
1016,40,Male,Single,Sales,Sales Executive,2,Life Sciences,4,9116,16,2,No,Travel_Rarely,17,3,3,1,3,2,9,34,28,23,0,No
1017,36,Female,Married,Sales,Manager,1,Medical,1,19309,12,1,Yes,Travel_Rarely,1,4,2,2,3,5,2,25,3,15,0,No
1018,28,Male,Divorced,Research & Development,Laboratory Technician,3,Life Sciences,4,3766,15,1,No,Travel_Frequently,25,1,1,1,3,5,2,17,9,8,0,No
1019,18,Male,Married,Research & Development,Manufacturing Director,4,Medical,1,7473,21,2,Yes,Non-Travel,2,2,1,3,3,1,2,28,24,3,0,No
1020,41,Male,Married,Sales,Manager,1,Life Sciences,1,17571,23,0,No,Travel_Rarely,7,3,3,1,4,5,6,22,2,25,0,No
1021,24,Female,Married,Research & Development,Healthcare Representative,2,Marketing,4,10097,16,2,No,Travel_Rarely,10,2,2,1,4,4,3,13,1,7,0,No
1022,42,Male,Single,Sales,Sales Representative,1,Life Sciences,2,16133,19,2,Yes,Travel_Frequently,20,2,3,1,3,4,3,14,8,24,0,No
1023,38,Male,Single,Sales,Sales Representative,2,Other,1,15269,16,1,No,Travel_Rarely,7,4,3,3,3,2,2,32,24,17,0,No
1024,32,Female,Divorced,Research & Development,Research Scientist,3,Technical Degree,4,10752,20,0,Yes,Travel_Rarely,24,4,1,3,3,3,9,24,16,16,1,Yes
1025,18,Male,Married,Research & Development,Manufacturing Director,2,Life Sciences,1,9692,15,2,Yes,Non-Travel,16,4,1,3,3,4,8,20,5,0,0,No
1026,29,Female,Single,Research & Development,Research Scientist,1,Medical,3,1069,11,0,No,Travel_Frequently,5,3,3,3,3,5,1,16,7,11,1,Yes
1027,24,Male,Divorced,Sales,Sales Executive,3,Life Sciences,3,10278,20,1,Yes,Travel_Rarely,29,2,2,2,4,2,3,22,2,4,1,Yes
1028,32,Female,Married,Research & Development,Manufacturing Director,2,Marketing,3,3904,15,0,No,Travel_Rarely,28,3,2,3,3,4,7,16,0,13,0,No
1029,38,Male,Married,Research & Development,Healthcare Representative,4,Life Sciences,3,16332,15,1,Yes,Non-Travel,12,4,3,3,3,0,5,13,12,17,0,No
1030,36,Female,Single,Sales,Sales Executive,2,Marketing,2,13361,16,2,Yes,Travel_Frequently,17,2,3,3,3,2,6,28,15,21,1,Yes
1031,46,Male,Divorced,Research & Development,Manufacturing Director,3,Life Sciences,3,12884,17,1,No,Travel_Rarely,16,3,2,3,3,1,6,19,6,28,0,No
1032,42,Male,Married,Sales,Sales Executive,1,Life Sciences,4,17978,23,0,No,Non-Travel,20,3,2,2,3,4,1,29,2,23,0,No
1033,50,Male,Married,Sales,Sales Executive,3,Life Sciences,1,6832,23,0,Yes,Non-Travel,26,1,2,1,3,1,3,18,3,29,0,No
1034,49,Female,Single,Human Resources,Human Resources,1,Life Sciences,4,12971,14,0,No,Travel_Rarely,16,3,3,1,3,2,9,38,36,32,1,Yes
1035,52,Female,Single,Human Resources,Manager,2,Medical,3,1543,17,2,Yes,Travel_Rarely,19,4,1,3,3,4,9,12,2,36,0,No
1036,55,Male,Single,Research & Development,Laboratory Technician,2,Life Sciences,2,5020,15,0,No,Travel_Rarely,26,3,2,3,3,1,5,17,14,39,0,No
1037,43,Male,Divorced,Sales,Manager,3,Technical Degree,3,3164,16,0,No,Travel_Frequently,15,2,2,3,3,3,2,22,7,25,0,No
1038,28,Female,Single,Sales,Sales Representative,4,Marketing,3,7966,14,0,No,Travel_Rarely,12,3,2,1,3,3,8,32,18,11,0,No
1039,52,Female,Married,Research & Development,Manufacturing Director,2,Life Sciences,2,10205,22,1,No,Travel_Frequently,21,1,3,1,3,0,3,38,25,32,0,No
1040,25,Female,Single,Research & Development,Manufacturing Director,4,Medical,2,11700,18,0,No,Travel_Rarely,10,2,1,3,3,5,9,39,38,6,1,Yes
1041,31,Female,Single,Sales,Sales Representative,4,Medical,2,14336,19,1,No,Travel_Rarely,29,2,1,1,3,2,1,17,9,13,0,No
