EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,EducationField,Education,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,NumCompaniesWorked,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,Attrition,AttritionLabel,AttritionRiskScore,RiskCategory
1001,30,Female,Single,Research & Development,Healthcare Representative,4,Technical Degree,3,7577,12,1,No,Travel_Frequently,29,3,1,3,3,4,4,31,20,14,0,No,0.4770332802503401,Medium
1002,48,Female,Single,Human Resources,Manager,3,Medical,1,3610,16,1,No,Travel_Rarely,24,1,1,2,3,0,6,14,10,32,1,Yes,0.6498771688839188,High
1003,58,Male,Divorced,Research & Development,Laboratory Technician,3,Marketing,1,7089,23,1,No,Travel_Rarely,16,4,3,1,4,0,0,35,18,37,0,No,0.2993416438599742,Low
1004,28,Male,Married,Research & Development,Research Scientist,1,Life Sciences,2,14863,12,0,Yes,Non-Travel,11,3,3,3,3,5,5,4,1,10,0,No,0.5583892909996884,Medium
1005,21,Female,Married,Sales,Manager,1,Marketing,2,3168,20,0,No,Travel_Rarely,6,2,2,2,3,3,7,21,12,1,0,No,0.4239685773861285,Medium
1006,51,Female,Married,Sales,Sales Executive,4,Human Resources,4,9322,14,0,Yes,Non-Travel,27,3,3,3,3,5,0,15,11,30,0,No,0.6141671487086563,High
1007,55,Male,Married,Sales,Sales Executive,4,Life Sciences,2,5377,20,1,No,Travel_Rarely,3,2,1,3,3,3,8,9,7,39,0,No,0.3425317042097604,Medium
1008,21,Female,Divorced,Research & Development,Laboratory Technician,1,Life Sciences,2,2326,13,2,No,Travel_Rarely,1,4,3,3,3,5,2,23,17,5,0,No,0.15489045397622705,Low
1009,55,Male,Single,Research & Development,Laboratory Technician,3,Life Sciences,1,14281,16,1,No,Non-Travel,18,3,3,3,3,1,0,17,11,37,0,No,0.2793675873286076,Low
1010,36,Female,Married,Research & Development,Healthcare Representative,2,Life Sciences,1,2239,22,1,No,Travel_Rarely,5,1,2,3,3,3,0,17,3,15,0,No,0.3035512783443707,Medium
1011,23,Male,Married,Sales,Sales Representative,2,Medical,1,18526,22,2,No,Travel_Rarely,13,1,2,1,3,3,5,6,1,5,0,No,0.3853777688140809,Medium
1012,51,Female,Married,Human Resources,Manager,4,Technical Degree,3,2310,23,2,Yes,Travel_Rarely,10,3,2,1,3,5,5,3,0,30,1,Yes,0.6887077935280835,High
1013,35,Male,Married,Research & Development,Manufacturing Director,4,Life Sciences,1,16936,24,1,No,Non-Travel,5,4,2,1,3,2,0,25,16,15,0,No,0.24339924175560135,Low
1014,30,Male,Divorced,Sales,Sales Representative,4,Medical,1,2919,18,2,Yes,Travel_Rarely,26,4,1,2,4,1,2,4,3,13,0,No,0.5676894268461103,Medium
1015,58,Male,Married,Sales,Manager,2,Medical,2,15913,21,2,No,Travel_Rarely,14,1,3,1,3,1,6,15,11,37,0,No,0.3770392827577356,Medium
1016,40,Male,Single,Sales,Sales Executive,2,Life Sciences,4,9116,16,2,No,Travel_Rarely,17,3,3,1,3,2,9,34,28,23,0,No,0.46046810300437135,Medium
1017,36,Female,Married,Sales,Manager,1,Medical,1,19309,12,1,Yes,Travel_Rarely,1,4,2,2,3,5,2,25,3,15,0,No,0.4212267558771189,Medium
1018,28,Male,Divorced,Research & Development,Laboratory Technician,3,Life Sciences,4,3766,15,1,No,Travel_Frequently,25,1,1,1,3,5,2,17,9,8,0,No,0.5296346892139262,Medium
1019,18,Male,Married,Research & Development,Manufacturing Director,4,Medical,1,7473,21,2,Yes,Non-Travel,2,2,1,3,3,1,2,28,24,3,0,No,0.4670395715563973,Medium
